"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_landfill_gas","conversion_factor_sec_elec","ef_pri_landfill_gas_emi_co2_f_pow"
70,"EE",2027,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
71,"EE",2030,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
72,"EE",2035,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
73,"EE",2040,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
74,"EE",2045,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
75,"EE",2050,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
76,"EE",2060,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
77,"EE",2070,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
78,"ES",2020,"pow_combustion_ic_biogas_02",46.764,0.0,0.0,15461.4325052972,534943.401916376,5.02376102565086,0.0,0.0,0.0,0,"","v1","","","",2.26208962222479,1.0,"global_emission_factors.pri_landfill_gas"
79,"ES",2021,"pow_combustion_ic_biogas_02",46.764,0.0,0.0,15461.4325052972,534943.401916376,5.02376102565086,0.0,0.0,0.0,0,"","v1","","","",2.26208962222479,1.0,"global_emission_factors.pri_landfill_gas"
80,"ES",2024,"pow_combustion_ic_biogas_02",30.544,0.0,0.0,20020.0854399462,541077.307334253,4.32054087884811,0.0,0.0,0.0,0,"","v1","","","",2.37008142016536,1.0,"global_emission_factors.pri_landfill_gas"
81,"ES",2027,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
82,"ES",2030,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
83,"ES",2035,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
84,"ES",2040,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
85,"ES",2045,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
86,"ES",2050,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
87,"ES",2060,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
88,"ES",2070,"pow_combustion_ic_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
89,"FI",2020,"pow_combustion_fc_biogas_01",0.02,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.pri_landfill_gas"
90,"FI",2021,"pow_combustion_fc_biogas_01",0.02,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.pri_landfill_gas"
91,"FI",2024,"pow_combustion_fc_biogas_01",0.02,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.pri_landfill_gas"
92,"FI",2027,"pow_combustion_fc_biogas_01",0.02,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.pri_landfill_gas"
93,"FI",2030,"pow_combustion_fc_biogas_01",0.02,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.pri_landfill_gas"
94,"FI",2035,"pow_combustion_fc_biogas_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
95,"FI",2040,"pow_combustion_fc_biogas_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
96,"FI",2045,"pow_combustion_fc_biogas_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
97,"FI",2050,"pow_combustion_fc_biogas_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
98,"FI",2060,"pow_combustion_fc_biogas_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
99,"FI",2070,"pow_combustion_fc_biogas_01",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_landfill_gas"
100,"FI",2020,"pow_combustion_gt_biogas_02",0.195,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_landfill_gas"
