"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_sec_biogas","conversion_factor_sec_elec","ef_sec_biogas_emi_co2_f_pow"
44,"BE",2070,"pow_combustion_ic_biogas_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
45,"BE",2020,"pow_combustion_st_biogas_02",1.0,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,1.0,"global_emission_factors.sec_biogas"
46,"BE",2021,"pow_combustion_st_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
47,"BE",2024,"pow_combustion_st_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
48,"BE",2027,"pow_combustion_st_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
49,"BE",2030,"pow_combustion_st_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
50,"BE",2035,"pow_combustion_st_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
51,"BE",2040,"pow_combustion_st_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
52,"BE",2045,"pow_combustion_st_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
53,"BE",2050,"pow_combustion_st_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
54,"BE",2060,"pow_combustion_st_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
55,"BE",2070,"pow_combustion_st_biogas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
56,"BG",2020,"pow_combustion_ic_biogas_04",32.99,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
57,"BG",2021,"pow_combustion_ic_biogas_04",32.99,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
58,"BG",2024,"pow_combustion_ic_biogas_04",32.99,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
59,"BG",2027,"pow_combustion_ic_biogas_04",32.99,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
60,"BG",2030,"pow_combustion_ic_biogas_04",32.99,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
61,"BG",2035,"pow_combustion_ic_biogas_04",28.99,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
62,"BG",2040,"pow_combustion_ic_biogas_04",22.99,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
63,"BG",2045,"pow_combustion_ic_biogas_04",12.99,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
64,"BG",2050,"pow_combustion_ic_biogas_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
65,"BG",2060,"pow_combustion_ic_biogas_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
66,"BG",2070,"pow_combustion_ic_biogas_04",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.sec_biogas"
67,"CH",2020,"pow_combustion_ic_biogas_04",3.06029920362027,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.sec_biogas"
