"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_sewage_gas","conversion_factor_sec_biogas","conversion_factor_sec_natural_gas_syn","conversion_factor_sec_elec","ef_pri_sewage_gas_emi_co2_f_pow","ef_sec_biogas_emi_co2_f_pow","ef_sec_natural_gas_syn_emi_co2_f_pow"
37,"GB",2027,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
38,"GB",2030,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
39,"GB",2035,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
40,"GB",2040,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
41,"GB",2045,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
42,"GB",2050,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
43,"GB",2060,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
44,"GB",2070,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
45,"IT",2020,"pow_combustion_st_biogas_0_ag",6.7,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,2.66233766233766,2.66233766233766,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
46,"IT",2021,"pow_combustion_st_biogas_0_ag",6.7,0.0,0.0,30502.37674657,555181.777307993,2.70353722949251,0.0,0.0,0.0,0,"","v1","","","",2.66233766233766,2.66233766233766,2.66233766233766,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
47,"IT",2024,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
48,"IT",2027,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
49,"IT",2030,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
50,"IT",2035,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
51,"IT",2040,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
52,"IT",2045,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
53,"IT",2050,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
54,"IT",2060,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
55,"IT",2070,"pow_combustion_st_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
