"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_marine","conversion_factor_sec_elec"
95,"FR",2040,"pow_marine_1",0.0,20.0,0.0,41936.3066478076,4517660.0,0.110083804143126,0.0,0.0,0.0,57,"","v1","","","",1.0,1.0
96,"FR",2045,"pow_marine_1",0.0,240.25,0.0,28487.5020319573,2458630.29994797,0.110083804143126,0.0,0.0,0.0,57,"","v1","","","",1.0,1.0
97,"FR",2050,"pow_marine_1",0.0,240.25,0.0,28487.5020319573,2458630.29994797,0.110083804143126,0.0,0.0,0.0,57,"","v1","","","",1.0,1.0
98,"FR",2060,"pow_marine_1",0.0,240.25,0.0,28487.5020319573,2458630.29994797,0.110083804143126,0.0,0.0,0.0,57,"","v1","","","",1.0,1.0
99,"FR",2070,"pow_marine_1",0.0,240.25,0.0,28487.5020319573,2458630.29994797,0.110083804143126,0.0,0.0,0.0,57,"","v1","","","",1.0,1.0
100,"GB",2020,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
101,"GB",2021,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
102,"GB",2024,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
103,"GB",2027,"pow_marine_1",0.0,0.5,0.0,38591.0114097124,3667821.5,0.110083804143126,0.0,0.0,0.0,25,"","v1","","","",1.0,1.0
104,"GB",2030,"pow_marine_1",0.0,0.8,0.0,38591.0114097124,3667821.5,0.110083804143126,0.0,0.0,0.0,25,"","v1","","","",1.0,1.0
105,"GB",2035,"pow_marine_1",0.0,27.0,0.0,32875.5689307978,2682975.5875,0.110083804143126,0.0,0.0,0.0,25,"","v1","","","",1.0,1.0
106,"GB",2040,"pow_marine_1",0.0,31.8,0.0,32809.6037130937,2675866.02712264,0.110083804143126,0.0,0.0,0.0,25,"","v1","","","",1.0,1.0
107,"GB",2045,"pow_marine_1",0.0,37.8,0.0,31929.7096622588,2611706.0625,0.110083804143126,0.0,0.0,0.0,30,"","v1","","","",1.0,1.0
108,"GB",2050,"pow_marine_1",0.0,48.3,0.0,30915.9186906446,2537782.625,0.110083804143126,0.0,0.0,0.0,30,"","v1","","","",1.0,1.0
109,"GB",2060,"pow_marine_1",0.0,48.3,0.0,30915.9186906446,2537782.625,0.110083804143126,0.0,0.0,0.0,30,"","v1","","","",1.0,1.0
110,"GB",2070,"pow_marine_1",0.0,48.3,0.0,30915.9186906446,2537782.625,0.110083804143126,0.0,0.0,0.0,30,"","v1","","","",1.0,1.0
111,"PT",2020,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
112,"PT",2021,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
113,"PT",2024,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
114,"PT",2027,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
115,"PT",2030,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
116,"PT",2035,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
117,"PT",2040,"pow_marine_1",0.0,0.3,0.0,32438.5493635078,2635874.75,0.110083804143126,0.0,0.0,0.0,25,"","v1","","","",1.0,1.0
118,"PT",2045,"pow_marine_1",0.0,0.3,0.0,32438.5493635078,2635874.75,0.110083804143126,0.0,0.0,0.0,25,"","v1","","","",1.0,1.0
119,"PT",2050,"pow_marine_1",0.0,0.3,0.0,32438.5493635078,2635874.75,0.110083804143126,0.0,0.0,0.0,25,"","v1","","","",1.0,1.0
120,"PT",2060,"pow_marine_1",0.0,0.3,0.0,32438.5493635078,2635874.75,0.110083804143126,0.0,0.0,0.0,25,"","v1","","","",1.0,1.0
121,"PT",2070,"pow_marine_1",0.0,0.3,0.0,32438.5493635078,2635874.75,0.110083804143126,0.0,0.0,0.0,25,"","v1","","","",1.0,1.0
122,"SE",2020,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
123,"SE",2021,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
124,"SE",2024,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
125,"SE",2027,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
126,"SE",2030,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
127,"SE",2035,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
128,"SE",2040,"pow_marine_1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0
129,"SE",2045,"pow_marine_1",0.0,10.0,0.0,27266.2711928336,2271658.25,0.110083804143126,0.0,0.0,0.0,30,"","v1","","","",1.0,1.0
130,"SE",2050,"pow_marine_1",0.0,10.0,0.0,27266.2711928336,2271658.25,0.110083804143126,0.0,0.0,0.0,30,"","v1","","","",1.0,1.0
131,"SE",2060,"pow_marine_1",0.0,10.0,0.0,27266.2711928336,2271658.25,0.110083804143126,0.0,0.0,0.0,30,"","v1","","","",1.0,1.0
132,"SE",2070,"pow_marine_1",0.0,10.0,0.0,27266.2711928336,2271658.25,0.110083804143126,0.0,0.0,0.0,30,"","v1","","","",1.0,1.0
