"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_sewage_gas","conversion_factor_pri_landfill_gas","conversion_factor_sec_biogas","conversion_factor_sec_natural_gas_syn","conversion_factor_sec_elec","ef_pri_sewage_gas_emi_co2_f_pow","ef_pri_landfill_gas_emi_co2_f_pow","ef_sec_biogas_emi_co2_f_pow","ef_sec_natural_gas_syn_emi_co2_f_pow"
49,"FR",2030,"pow_combustion_gt_biogas_0_ag",1.17,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,2.38095238095238,2.38095238095238,2.38095238095238,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
50,"FR",2035,"pow_combustion_gt_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
51,"FR",2040,"pow_combustion_gt_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
52,"FR",2045,"pow_combustion_gt_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
53,"FR",2050,"pow_combustion_gt_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
54,"FR",2060,"pow_combustion_gt_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
55,"FR",2070,"pow_combustion_gt_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
56,"GB",2020,"pow_combustion_gt_biogas_0_ag",509.41,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,2.38095238095238,2.38095238095238,2.38095238095238,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
57,"GB",2021,"pow_combustion_gt_biogas_0_ag",509.41,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,2.38095238095238,2.38095238095238,2.38095238095238,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
58,"GB",2024,"pow_combustion_gt_biogas_0_ag",344.8,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,2.38095238095238,2.38095238095238,2.38095238095238,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
59,"GB",2027,"pow_combustion_gt_biogas_0_ag",235.2,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,2.38095238095238,2.38095238095238,2.38095238095238,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
60,"GB",2030,"pow_combustion_gt_biogas_0_ag",89.4,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,2.38095238095238,2.38095238095238,2.38095238095238,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
61,"GB",2035,"pow_combustion_gt_biogas_0_ag",20.8,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,2.38095238095238,2.38095238095238,2.38095238095238,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
62,"GB",2040,"pow_combustion_gt_biogas_0_ag",10.9,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,2.38095238095238,2.38095238095238,2.38095238095238,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
63,"GB",2045,"pow_combustion_gt_biogas_0_ag",10.9,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,2.38095238095238,2.38095238095238,2.38095238095238,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
64,"GB",2050,"pow_combustion_gt_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
65,"GB",2060,"pow_combustion_gt_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
66,"GB",2070,"pow_combustion_gt_biogas_0_ag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
67,"IT",2020,"pow_combustion_gt_biogas_0_ag",7.86,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,2.38095238095238,2.38095238095238,2.38095238095238,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
68,"IT",2021,"pow_combustion_gt_biogas_0_ag",7.86,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,2.38095238095238,2.38095238095238,2.38095238095238,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
69,"IT",2024,"pow_combustion_gt_biogas_0_ag",3.06,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,2.38095238095238,2.38095238095238,2.38095238095238,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
70,"IT",2027,"pow_combustion_gt_biogas_0_ag",3.06,0.0,0.0,8535.944,480289.68,4.761,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,2.38095238095238,2.38095238095238,2.38095238095238,1.0,"global_emission_factors.pri_sewage_gas","global_emission_factors.pri_landfill_gas","global_emission_factors.sec_biogas","global_emission_factors.sec_natural_gas_syn"
