"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_coal","conversion_factor_sec_elec","ef_pri_coal_emi_co2_f_pow"
46,"BG",2021,"pow_combustion_st_coal_0",100.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.58453363382844,1.0,"global_emission_factors.pri_coal"
47,"BG",2024,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
48,"BG",2027,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
49,"BG",2030,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
50,"BG",2035,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
51,"BG",2040,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
52,"BG",2045,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
53,"BG",2050,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
54,"BG",2060,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
55,"BG",2070,"pow_combustion_st_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
56,"CZ",2020,"pow_combustion_cc_coal_0",105.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.43486729973216,1.0,"global_emission_factors.pri_coal"
57,"CZ",2021,"pow_combustion_cc_coal_0",105.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.43486729973216,1.0,"global_emission_factors.pri_coal"
58,"CZ",2024,"pow_combustion_cc_coal_0",105.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.43486729973216,1.0,"global_emission_factors.pri_coal"
59,"CZ",2027,"pow_combustion_cc_coal_0",105.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.43486729973216,1.0,"global_emission_factors.pri_coal"
60,"CZ",2030,"pow_combustion_cc_coal_0",105.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.43486729973216,1.0,"global_emission_factors.pri_coal"
61,"CZ",2035,"pow_combustion_cc_coal_0",105.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.43486729973216,1.0,"global_emission_factors.pri_coal"
62,"CZ",2040,"pow_combustion_cc_coal_0",105.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.43486729973216,1.0,"global_emission_factors.pri_coal"
63,"CZ",2045,"pow_combustion_cc_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
64,"CZ",2050,"pow_combustion_cc_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
65,"CZ",2060,"pow_combustion_cc_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
66,"CZ",2070,"pow_combustion_cc_coal_0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_coal"
67,"CZ",2020,"pow_combustion_st_coal_0",1248.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.61612043053821,1.0,"global_emission_factors.pri_coal"
68,"CZ",2021,"pow_combustion_st_coal_0",1224.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.61313855021352,1.0,"global_emission_factors.pri_coal"
69,"CZ",2024,"pow_combustion_st_coal_0",472.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.60132200176159,1.0,"global_emission_factors.pri_coal"
70,"CZ",2027,"pow_combustion_st_coal_0",472.0,0.0,0.0,37188.7,2407027.75578974,3.3,0.0,0.0,0.0,0,"","v1","","","",2.60132200176159,1.0,"global_emission_factors.pri_coal"
