"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_cbm","conversion_factor_sec_elec","ef_pri_cbm_emi_co2_f_pow"
55,"DE",2070,"pow_combustion_st_methane_02",0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
56,"GB",2020,"pow_combustion_cc_methane_03",7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
57,"GB",2021,"pow_combustion_cc_methane_03",7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",2.38095238095238,1.0,"global_emission_factors.pri_cbm"
58,"GB",2024,"pow_combustion_cc_methane_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
59,"GB",2027,"pow_combustion_cc_methane_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
60,"GB",2030,"pow_combustion_cc_methane_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
61,"GB",2035,"pow_combustion_cc_methane_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
62,"GB",2040,"pow_combustion_cc_methane_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
63,"GB",2045,"pow_combustion_cc_methane_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
64,"GB",2050,"pow_combustion_cc_methane_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
65,"GB",2060,"pow_combustion_cc_methane_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
66,"GB",2070,"pow_combustion_cc_methane_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,"global_emission_factors.pri_cbm"
67,"GB",2020,"pow_combustion_ic_methane_02",79.91,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
68,"GB",2021,"pow_combustion_ic_methane_02",79.91,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
69,"GB",2024,"pow_combustion_ic_methane_02",62.51,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
70,"GB",2027,"pow_combustion_ic_methane_02",31.792,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
71,"GB",2030,"pow_combustion_ic_methane_02",25.792,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
72,"GB",2035,"pow_combustion_ic_methane_02",24.592,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
73,"GB",2040,"pow_combustion_ic_methane_02",24.592,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
74,"GB",2045,"pow_combustion_ic_methane_02",24.592,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
75,"GB",2050,"pow_combustion_ic_methane_02",24.592,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
76,"GB",2060,"pow_combustion_ic_methane_02",24.592,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
77,"GB",2070,"pow_combustion_ic_methane_02",24.592,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
78,"PL",2020,"pow_combustion_ic_methane_02",7.01,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
79,"PL",2021,"pow_combustion_ic_methane_02",7.01,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
80,"PL",2024,"pow_combustion_ic_methane_02",7.01,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
81,"PL",2027,"pow_combustion_ic_methane_02",7.01,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
82,"PL",2030,"pow_combustion_ic_methane_02",7.01,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
83,"PL",2035,"pow_combustion_ic_methane_02",5.01,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
84,"PL",2040,"pow_combustion_ic_methane_02",5.01,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
85,"PL",2045,"pow_combustion_ic_methane_02",5.01,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
86,"PL",2050,"pow_combustion_ic_methane_02",5.01,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
87,"PL",2060,"pow_combustion_ic_methane_02",5.01,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
88,"PL",2070,"pow_combustion_ic_methane_02",5.01,0.0,0.0,6877.0,523392.6,6.348,0.0,0.0,0.0,0,"","v1","","","",2.08333333333333,1.0,"global_emission_factors.pri_cbm"
