"id","region","year","type","capacity_p_inst","capacity_p_max","capacity_p_min","cost_fix_p","cost_inv_p","cost_var_e","cb_coefficient","cv_coefficient","emi_ch4_f_pow","emi_n2o_f_pow","emi_nox_f_pow","lifetime","bandwidth_type","version","method","source","comment","conversion_factor_pri_biomass_wood_chips_sr","conversion_factor_pri_biomass_pellets_sr","conversion_factor_pri_waste_other_bio_sr","conversion_factor_pri_waste_municipal_bio","conversion_factor_pri_waste_wood","conversion_factor_pri_sewage_sludge","conversion_factor_sec_elec","conversion_factor_sec_heat_low","ef_pri_biomass_wood_chips_sr_emi_co2_f_pow","ef_pri_biomass_pellets_sr_emi_co2_f_pow","ef_pri_waste_other_bio_sr_emi_co2_f_pow","ef_pri_waste_municipal_bio_emi_co2_f_pow","ef_pri_waste_wood_emi_co2_f_pow","ef_pri_sewage_sludge_emi_co2_f_pow"
11,"ES",2070,"pow_combustion_gt_chp_syngas_02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
12,"ES",2020,"pow_combustion_ic_chp_syngas_03",5.91,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,2.32558139534884,2.32558139534884,2.32558139534884,2.32558139534884,2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
13,"ES",2021,"pow_combustion_ic_chp_syngas_03",5.91,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,2.32558139534884,2.32558139534884,2.32558139534884,2.32558139534884,2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
14,"ES",2024,"pow_combustion_ic_chp_syngas_03",5.91,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,2.32558139534884,2.32558139534884,2.32558139534884,2.32558139534884,2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
15,"ES",2027,"pow_combustion_ic_chp_syngas_03",5.91,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,2.32558139534884,2.32558139534884,2.32558139534884,2.32558139534884,2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
16,"ES",2030,"pow_combustion_ic_chp_syngas_03",5.91,0.0,0.0,10315.5,1005100.0,7.935,0.86,1.0,0.0,0.0,0.0,0,"","v1","","","",2.32558139534884,2.32558139534884,2.32558139534884,2.32558139534884,2.32558139534884,2.32558139534884,1.0,1.16279069767442,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
17,"ES",2035,"pow_combustion_ic_chp_syngas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
18,"ES",2040,"pow_combustion_ic_chp_syngas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
19,"ES",2045,"pow_combustion_ic_chp_syngas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
20,"ES",2050,"pow_combustion_ic_chp_syngas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
21,"ES",2060,"pow_combustion_ic_chp_syngas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
22,"ES",2070,"pow_combustion_ic_chp_syngas_03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"","v1","","","",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"global_emission_factors.pri_biomass_wood_chips_sr","global_emission_factors.pri_biomass_pellets_sr","global_emission_factors.pri_waste_other_bio_sr","global_emission_factors.pri_waste_municipal_bio","global_emission_factors.pri_waste_wood","global_emission_factors.pri_sewage_sludge"
