"id","region","year","type","availability_constant","efficiency","cost_fix_p","cost_inv_p","lifetime","conversion_factor_me1_space_heating","conversion_factor_me1_hot_water","conversion_factor_me1_space_cooling","flow_share_fix_me1_space_heating","flow_share_fix_me1_hot_water","flow_share_fix_me1_space_cooling","flow_share_fix_sec_elec","flow_share_fix_pri_solar_radiation","flow_share_fix_pri_envir_heat","flow_share_fix_pri_geoth_heat","flow_share_fix_pri_natural_gas","flow_share_fix_sec_heating_oil","starting_year","bandwidth_type","version","method","source","comment"
54,"DE",2030,"hea_hh_me1_heater_boil_cd_gas_1",1.0,0.0,10.99995294,366.665098,20.0,0.905,0.0,0.0,0.863355922,0.136644078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
55,"DE",2035,"hea_hh_me1_heater_boil_cd_gas_1",1.0,0.0,11.55196002,385.0653339,20.0,0.905,0.0,0.0,0.858408467,0.141591533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
56,"DE",2040,"hea_hh_me1_heater_boil_cd_gas_1",1.0,0.0,12.04924183,401.6413942,20.0,0.905,0.0,0.0,0.853311928,0.146688072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
57,"DE",2045,"hea_hh_me1_heater_boil_cd_gas_1",1.0,0.0,12.17774634,405.9248779,20.0,0.905,0.0,0.0,0.848064141,0.151935859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
58,"DE",2050,"hea_hh_me1_heater_boil_cd_gas_1",1.0,0.0,12.20601474,406.8671581,20.0,0.905,0.0,0.0,0.842662978,0.157337022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
59,"DE",2060,"hea_hh_me1_heater_boil_cd_gas_1",1.0,0.0,12.20601474,406.8671581,20.0,0.905,0.0,0.0,0.842662978,0.157337022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
60,"DE",2070,"hea_hh_me1_heater_boil_cd_gas_1",1.0,0.0,12.20601474,406.8671581,20.0,0.905,0.0,0.0,0.842662978,0.157337022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
61,"DE",2015,"hea_hh_me1_heater_boil_dual_biomass_1",1.0,0.0,39.08614271,651.4357118,15.0,0.8125,0.0,0.0,0.877328579,0.122671421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
62,"DE",2020,"hea_hh_me1_heater_boil_dual_biomass_1",1.0,0.0,42.16923477,702.8205794,15.0,0.8125,0.0,0.0,0.872814079,0.127185921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
63,"DE",2025,"hea_hh_me1_heater_boil_dual_biomass_1",1.0,0.0,46.19869711,769.9782852,15.0,0.8125,0.0,0.0,0.868156877,0.131843123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
64,"DE",2030,"hea_hh_me1_heater_boil_dual_biomass_1",1.0,0.0,49.88434239,831.4057065,15.0,0.8125,0.0,0.0,0.863355922,0.136644078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
65,"DE",2035,"hea_hh_me1_heater_boil_dual_biomass_1",1.0,0.0,52.64203628,877.3672714,15.0,0.8125,0.0,0.0,0.858408467,0.141591533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
66,"DE",2040,"hea_hh_me1_heater_boil_dual_biomass_1",1.0,0.0,55.12051212,918.675202,15.0,0.8125,0.0,0.0,0.853311928,0.146688072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
67,"DE",2045,"hea_hh_me1_heater_boil_dual_biomass_1",1.0,0.0,55.76007476,929.3345794,15.0,0.8125,0.0,0.0,0.848064141,0.151935859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
68,"DE",2050,"hea_hh_me1_heater_boil_dual_biomass_1",1.0,0.0,55.90071525,931.6785876,15.0,0.8125,0.0,0.0,0.842662978,0.157337022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
69,"DE",2060,"hea_hh_me1_heater_boil_dual_biomass_1",1.0,0.0,55.90071525,931.6785876,15.0,0.8125,0.0,0.0,0.842662978,0.157337022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
70,"DE",2070,"hea_hh_me1_heater_boil_dual_biomass_1",1.0,0.0,55.90071525,931.6785876,15.0,0.8125,0.0,0.0,0.842662978,0.157337022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
71,"DE",2015,"hea_hh_me1_heater_boil_et_soco_1",1.0,0.0,16.72076432,557.3588108,20.0,1.0,0.0,0.0,0.877328579,0.122671421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
