"id","region","year","type","availability_constant","efficiency","cost_fix_p","cost_inv_p","lifetime","conversion_factor_ue1_space_heating","conversion_factor_ue1_hot_water","conversion_factor_ue1_space_cooling","flow_share_fix_ue1_space_heating","flow_share_fix_ue1_hot_water","flow_share_fix_ue1_space_cooling","flow_share_fix_sec_elec","flow_share_fix_pri_solar_radiation","flow_share_fix_pri_envir_heat","flow_share_fix_pri_geoth_heat","flow_share_fix_pri_natural_gas","flow_share_fix_sec_heating_oil","starting_year","bandwidth_type","version","method","source","comment"
34,"DE",2030,"hea_hh_ue1_heater_boil_biomass_soco_1",1.0,0.0,52.42590893,1747.530298,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
35,"DE",2035,"hea_hh_ue1_heater_boil_biomass_soco_1",1.0,0.0,55.24426006,1841.475335,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
36,"DE",2040,"hea_hh_ue1_heater_boil_biomass_soco_1",1.0,0.0,57.18862628,1906.287543,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
37,"DE",2045,"hea_hh_ue1_heater_boil_biomass_soco_1",1.0,0.0,57.18862628,1906.287543,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
38,"DE",2050,"hea_hh_ue1_heater_boil_biomass_soco_1",1.0,0.0,57.18862628,1906.287543,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
39,"DE",2060,"hea_hh_ue1_heater_boil_biomass_soco_1",1.0,0.0,57.18862628,1906.287543,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
40,"DE",2070,"hea_hh_ue1_heater_boil_biomass_soco_1",1.0,0.0,57.18862628,1906.287543,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,2015.0,"","","","",""
41,"DE",2015,"hea_hh_ue1_heater_boil_cd_biodiesel_1",1.0,0.0,12.83867399,427.9557998,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
42,"DE",2020,"hea_hh_ue1_heater_boil_cd_biodiesel_1",1.0,0.0,13.65334647,455.1115488,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
43,"DE",2025,"hea_hh_ue1_heater_boil_cd_biodiesel_1",1.0,0.0,14.76658193,492.2193975,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
44,"DE",2030,"hea_hh_ue1_heater_boil_cd_biodiesel_1",1.0,0.0,16.07050095,535.6833651,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
45,"DE",2035,"hea_hh_ue1_heater_boil_cd_biodiesel_1",1.0,0.0,16.78596938,559.5323125,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
46,"DE",2040,"hea_hh_ue1_heater_boil_cd_biodiesel_1",1.0,0.0,17.27641736,575.8805788,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
47,"DE",2045,"hea_hh_ue1_heater_boil_cd_biodiesel_1",1.0,0.0,17.27641736,575.8805788,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
48,"DE",2050,"hea_hh_ue1_heater_boil_cd_biodiesel_1",1.0,0.0,17.27641736,575.8805788,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
49,"DE",2060,"hea_hh_ue1_heater_boil_cd_biodiesel_1",1.0,0.0,17.27641736,575.8805788,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
50,"DE",2070,"hea_hh_ue1_heater_boil_cd_biodiesel_1",1.0,0.0,17.27641736,575.8805788,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
51,"DE",2015,"hea_hh_ue1_heater_boil_cd_gas_1",1.0,0.0,8.968045531,298.934851,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
52,"DE",2020,"hea_hh_ue1_heater_boil_cd_gas_1",1.0,0.0,9.500655451,316.688515,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
53,"DE",2025,"hea_hh_ue1_heater_boil_cd_gas_1",1.0,0.0,10.23217508,341.0725027,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
54,"DE",2030,"hea_hh_ue1_heater_boil_cd_gas_1",1.0,0.0,11.0946827,369.8227568,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
55,"DE",2035,"hea_hh_ue1_heater_boil_cd_gas_1",1.0,0.0,11.57061127,385.6870425,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
56,"DE",2040,"hea_hh_ue1_heater_boil_cd_gas_1",1.0,0.0,11.89795674,396.5985581,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
57,"DE",2045,"hea_hh_ue1_heater_boil_cd_gas_1",1.0,0.0,11.89795674,396.5985581,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
58,"DE",2050,"hea_hh_ue1_heater_boil_cd_gas_1",1.0,0.0,11.89795674,396.5985581,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
59,"DE",2060,"hea_hh_ue1_heater_boil_cd_gas_1",1.0,0.0,11.89795674,396.5985581,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
60,"DE",2070,"hea_hh_ue1_heater_boil_cd_gas_1",1.0,0.0,11.89795674,396.5985581,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
61,"DE",2015,"hea_hh_ue1_heater_boil_dual_biomass_1",1.0,0.0,52.34226637,872.3711062,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
62,"DE",2020,"hea_hh_ue1_heater_boil_dual_biomass_1",1.0,0.0,56.44828043,940.8046738,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
63,"DE",2025,"hea_hh_ue1_heater_boil_dual_biomass_1",1.0,0.0,62.13457887,1035.576315,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
64,"DE",2030,"hea_hh_ue1_heater_boil_dual_biomass_1",1.0,0.0,68.89579423,1148.263237,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
65,"DE",2035,"hea_hh_ue1_heater_boil_dual_biomass_1",1.0,0.0,72.64808847,1210.801475,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
66,"DE",2040,"hea_hh_ue1_heater_boil_dual_biomass_1",1.0,0.0,75.23646363,1253.94106,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
67,"DE",2045,"hea_hh_ue1_heater_boil_dual_biomass_1",1.0,0.0,75.23646363,1253.94106,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
