"id","region","year","type",availability_constant,efficiency,"fix_cost","inv_cost","lifetime","share_ccle","share_ccse","share_chle","share_chse","share_comelc","share_comsol","share_comaht","share_cwle","share_cwse","share_comgeo","starting_year","bandwidth_type","version","method","source","comment"
51,"DE",2040,"hea_cts_heat_exchanger_hth_1_ag",1.0,1.0,3.797956673,126.5985558,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
52,"DE",2045,"hea_cts_heat_exchanger_hth_1_ag",1.0,1.0,3.928797184,130.9599061,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
53,"DE",2050,"hea_cts_heat_exchanger_hth_1_ag",1.0,1.0,3.981674425,132.7224808,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
54,"DE",2015,"hea_cts_heat_exchanger_lth_1_ag",1.0,1.0,2.745940475,91.53134918,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
55,"DE",2020,"hea_cts_heat_exchanger_lth_1_ag",1.0,1.0,2.914772466,97.15908221,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
56,"DE",2025,"hea_cts_heat_exchanger_lth_1_ag",1.0,1.0,3.139533382,104.6511127,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
57,"DE",2030,"hea_cts_heat_exchanger_lth_1_ag",1.0,1.0,3.407434942,113.5811647,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
58,"DE",2035,"hea_cts_heat_exchanger_lth_1_ag",1.0,1.0,3.608165273,120.2721758,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
59,"DE",2040,"hea_cts_heat_exchanger_lth_1_ag",1.0,1.0,3.807553236,126.9184412,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
60,"DE",2045,"hea_cts_heat_exchanger_lth_1_ag",1.0,1.0,3.935764637,131.1921546,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
61,"DE",2050,"hea_cts_heat_exchanger_lth_1_ag",1.0,1.0,3.987560527,132.9186842,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,"","","","",""
